System,River,ReturnYear,Total_Returns,Label,ReturnsByAgeClass,Age,FW_Winters,Mar_Winters,Euro,GR,GRShort,BroodYear,RecruitsByAgeClass,MarineEntryYear,Total_Recruits,PercOfBrdYr,Total_Spawners_BroodYear,TotRecPerTotSpn
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_2.3,95,6,2,3,2.3,6_3,63,1989,95,1992,80861,0.12,41884,1.931
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1989,0,1993,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1990,0,1991,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_1.3,303,5,1,3,1.3,5_2,52,1990,303,1992,2607,11.62,49581,0.053
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_2.2,259,5,2,2,2.2,5_3,53,1990,259,1993,2607,9.93,49581,0.053
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1990,0,1994,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1991,0,1992,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_1.2,4860,4,1,2,1.2,4_2,42,1991,4860,1993,9610,50.57,76481,0.126
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_2.1,764,4,2,1,2.1,4_3,43,1991,764,1994,9610,7.95,76481,0.126
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1992,0,1993,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_1.1,2451,3,1,1,1.1,3_2,32,1992,2451,1994,33691,7.27,84992,0.396
Columbia River,Bonneville Lock & Dam,1995,8774,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1993,0,1994,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1988,0,1992,76799,0,79714,0.963
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1989,0,1991,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1989,0,1992,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1989,0,1993,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1990,0,1991,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1990,0,1992,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1990,0,1993,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1990,0,1994,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1991,0,1992,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_1.3,1095,5,1,3,1.3,5_2,52,1991,1095,1993,9610,11.39,76481,0.126
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_2.2,2110,5,2,2,2.2,5_3,53,1991,2110,1994,9610,21.96,76481,0.126
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1991,0,1995,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1992,0,1993,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_1.2,26262,4,1,2,1.2,4_2,42,1992,26262,1994,33691,77.95,84992,0.396
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_2.1,232,4,2,1,2.1,4_3,43,1992,232,1995,33691,0.69,84992,0.396
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1993,0,1994,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_1.1,534,3,1,1,1.1,3_2,32,1993,534,1995,50984,1.05,80178,0.636
Columbia River,Bonneville Lock & Dam,1996,30232,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1994,0,1995,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1989,0,1993,80861,0,41884,1.931
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1990,0,1992,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1990,0,1993,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1990,0,1994,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1991,0,1992,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1991,0,1993,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_2.3,341,6,2,3,2.3,6_3,63,1991,341,1994,9610,3.55,76481,0.126
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1991,0,1995,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1992,0,1993,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_1.3,2333,5,1,3,1.3,5_2,52,1992,2333,1994,33691,6.92,84992,0.396
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_2.2,2343,5,2,2,2.2,5_3,53,1992,2343,1995,33691,6.95,84992,0.396
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1992,0,1996,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1993,0,1994,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_1.2,41379,4,1,2,1.2,4_2,42,1993,41379,1995,50984,81.16,80178,0.636
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_2.1,298,4,2,1,2.1,4_3,43,1993,298,1996,50984,0.58,80178,0.636
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1994,0,1995,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_1.1,315,3,1,1,1.1,3_2,32,1994,315,1996,3319,9.49,12678,0.262
Columbia River,Bonneville Lock & Dam,1997,47008,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1995,0,1996,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1990,0,1994,2607,0,49581,0.053
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1991,0,1993,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1991,0,1994,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1991,0,1995,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1992,0,1993,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1992,0,1994,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_2.3,70,6,2,3,2.3,6_3,63,1992,70,1995,33691,0.21,84992,0.396
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1992,0,1996,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1993,0,1994,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_1.3,7485,5,1,3,1.3,5_2,52,1993,7485,1995,50984,14.68,80178,0.636
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_2.2,1158,5,2,2,2.2,5_3,53,1993,1158,1996,50984,2.27,80178,0.636
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1993,0,1997,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1994,0,1995,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_1.2,1373,4,1,2,1.2,4_2,42,1994,1373,1996,3319,41.37,12678,0.262
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_2.1,194,4,2,1,2.1,4_3,43,1994,194,1997,3319,5.85,12678,0.262
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1995,0,1996,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_1.1,2939,3,1,1,1.1,3_2,32,1995,2939,1997,18830,15.61,8774,2.146
Columbia River,Bonneville Lock & Dam,1998,13218,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1996,0,1997,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1991,0,1995,9610,0,76481,0.126
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1992,0,1994,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1992,0,1995,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1992,0,1996,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1993,0,1994,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1993,0,1995,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_2.3,130,6,2,3,2.3,6_3,63,1993,130,1996,50984,0.25,80178,0.636
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1993,0,1997,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1994,0,1995,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_1.3,559,5,1,3,1.3,5_2,52,1994,559,1996,3319,16.84,12678,0.262
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_2.2,760,5,2,2,2.2,5_3,53,1994,760,1997,3319,22.9,12678,0.262
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1994,0,1998,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1995,0,1996,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_1.2,14403,4,1,2,1.2,4_2,42,1995,14403,1997,18830,76.49,8774,2.146
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_2.1,466,4,2,1,2.1,4_3,43,1995,466,1998,18830,2.47,8774,2.146
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1996,0,1997,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_1.1,1558,3,1,1,1.1,3_2,32,1996,1558,1998,113128,1.38,30232,3.742
Columbia River,Bonneville Lock & Dam,1999,17877,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1997,0,1998,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1992,0,1996,33691,0,84992,0.396
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1993,0,1995,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1993,0,1996,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1993,0,1997,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1994,0,1995,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1994,0,1996,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_2.3,118,6,2,3,2.3,6_3,63,1994,118,1997,3319,3.56,12678,0.262
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1994,0,1998,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1995,0,1996,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_1.3,598,5,1,3,1.3,5_2,52,1995,598,1997,18830,3.18,8774,2.146
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_2.2,424,5,2,2,2.2,5_3,53,1995,424,1998,18830,2.25,8774,2.146
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1995,0,1999,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1996,0,1997,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_1.2,88006,4,1,2,1.2,4_2,42,1996,88006,1998,113128,77.79,30232,3.742
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_2.1,427,4,2,1,2.1,4_3,43,1996,427,1999,113128,0.38,30232,3.742
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1997,0,1998,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_1.1,3825,3,1,1,1.1,3_2,32,1997,3825,1999,124912,3.06,47008,2.657
Columbia River,Bonneville Lock & Dam,2000,93398,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1998,0,1999,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1993,0,1997,50984,0,80178,0.636
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1994,0,1996,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1994,0,1997,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1994,0,1998,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1995,0,1996,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1995,0,1997,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1995,0,1998,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1995,0,1999,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1996,0,1997,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_1.3,12394,5,1,3,1.3,5_2,52,1996,12394,1998,113128,10.96,30232,3.742
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_2.2,8810,5,2,2,2.2,5_3,53,1996,8810,1999,113128,7.79,30232,3.742
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_3.1,0,5,3,1,3.1,5_4,54,1996,0,2000,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1997,0,1998,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_1.2,92046,4,1,2,1.2,4_2,42,1997,92046,1999,124912,73.69,47008,2.657
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_2.1,513,4,2,1,2.1,4_3,43,1997,513,2000,124912,0.41,47008,2.657
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1998,0,1999,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_1.1,1171,3,1,1,1.1,3_2,32,1998,1171,2000,32802,3.57,13218,2.482
Columbia River,Bonneville Lock & Dam,2001,114934,AgeClass_0.1,0,2,0,1,0.1,2_1,21,1999,0,2000,16813,0,17877,0.94
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1994,0,1998,3319,0,12678,0.262
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1995,0,1997,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1995,0,1998,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1995,0,1999,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1996,0,1997,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1996,0,1998,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_2.3,508,6,2,3,2.3,6_3,63,1996,508,1999,113128,0.45,30232,3.742
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_3.2,1425,6,3,2,3.2,6_4,64,1996,1425,2000,113128,1.26,30232,3.742
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1997,0,1998,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_1.3,6887,5,1,3,1.3,5_2,52,1997,6887,1999,124912,5.51,47008,2.657
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_2.2,20446,5,2,2,2.2,5_3,53,1997,20446,2000,124912,16.37,47008,2.657
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_3.1,46,5,3,1,3.1,5_4,54,1997,46,2001,124912,0.04,47008,2.657
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1998,0,1999,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_1.2,19533,4,1,2,1.2,4_2,42,1998,19533,2000,32802,59.55,13218,2.482
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_2.1,116,4,2,1,2.1,4_3,43,1998,116,2001,32802,0.35,13218,2.482
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_0.2,0,3,0,2,0.2,3_1,31,1999,0,2000,16813,0,17877,0.94
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_1.1,458,3,1,1,1.1,3_2,32,1999,458,2001,16813,2.72,17877,0.94
Columbia River,Bonneville Lock & Dam,2002,49610,AgeClass_0.1,0,2,0,1,0.1,2_1,21,2000,0,2001,136515,0,93398,1.462
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1995,0,1999,18830,0,8774,2.146
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1996,0,1998,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1996,0,1999,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_3.3,35,7,3,3,3.3,7_4,74,1996,35,2000,113128,0.03,30232,3.742
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1997,0,1998,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1997,0,1999,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_2.3,343,6,2,3,2.3,6_3,63,1997,343,2000,124912,0.27,47008,2.657
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_3.2,806,6,3,2,3.2,6_4,64,1997,806,2001,124912,0.65,47008,2.657
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1998,0,1999,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_1.3,6025,5,1,3,1.3,5_2,52,1998,6025,2000,32802,18.37,13218,2.482
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_2.2,492,5,2,2,2.2,5_3,53,1998,492,2001,32802,1.5,13218,2.482
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_3.1,5230,5,3,1,3.1,5_4,54,1998,5230,2002,32802,15.94,13218,2.482
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_0.3,0,4,0,3,0.3,4_1,41,1999,0,2000,16813,0,17877,0.94
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_1.2,12359,4,1,2,1.2,4_2,42,1999,12359,2001,16813,73.51,17877,0.94
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_2.1,2373,4,2,1,2.1,4_3,43,1999,2373,2002,16813,14.11,17877,0.94
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_0.2,0,3,0,2,0.2,3_1,31,2000,0,2001,136515,0,93398,1.462
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_1.1,9713,3,1,1,1.1,3_2,32,2000,9713,2002,136515,7.11,93398,1.462
Columbia River,Bonneville Lock & Dam,2003,39291,AgeClass_0.1,0,2,0,1,0.1,2_1,21,2001,0,2002,80051,0,114934,0.696
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1996,0,2000,113128,0,30232,3.742
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1997,0,1999,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1997,0,2000,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1997,0,2001,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1998,0,1999,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1998,0,2000,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_2.3,235,6,2,3,2.3,6_3,63,1998,235,2001,32802,0.72,13218,2.482
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_3.2,0,6,3,2,3.2,6_4,64,1998,0,2002,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_0.4,0,5,0,4,0.4,5_1,51,1999,0,2000,16813,0,17877,0.94
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_1.3,337,5,1,3,1.3,5_2,52,1999,337,2001,16813,2,17877,0.94
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_2.2,784,5,2,2,2.2,5_3,53,1999,784,2002,16813,4.66,17877,0.94
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_3.1,235,5,3,1,3.1,5_4,54,1999,235,2003,16813,1.4,17877,0.94
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_0.3,0,4,0,3,0.3,4_1,41,2000,0,2001,136515,0,93398,1.462
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_1.2,120481,4,1,2,1.2,4_2,42,2000,120481,2002,136515,88.25,93398,1.462
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_2.1,0,4,2,1,2.1,4_3,43,2000,0,2003,136515,0,93398,1.462
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_0.2,0,3,0,2,0.2,3_1,31,2001,0,2002,80051,0,114934,0.696
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_1.1,1218,3,1,1,1.1,3_2,32,2001,1218,2003,80051,1.52,114934,0.696
Columbia River,Bonneville Lock & Dam,2004,123291,AgeClass_0.1,0,2,0,1,0.1,2_1,21,2002,0,2003,30479,0,49610,0.614
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_3.4,0,8,3,4,3.4,8_4,84,1997,0,2001,124912,0,47008,2.657
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_1.5,0,7,1,5,1.5,7_2,72,1998,0,2000,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_2.4,0,7,2,4,2.4,7_3,73,1998,0,2001,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_3.3,0,7,3,3,3.3,7_4,74,1998,0,2002,32802,0,13218,2.482
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_0.5,0,6,0,5,0.5,6_1,61,1999,0,2000,16813,0,17877,0.94
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_1.4,0,6,1,4,1.4,6_2,62,1999,0,2001,16813,0,17877,0.94
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_2.3,0,6,2,3,2.3,6_3,63,1999,0,2002,16813,0,17877,0.94
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_3.2,267,6,3,2,3.2,6_4,64,1999,267,2003,16813,1.59,17877,0.94
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_0.4,0,5,0,4,0.4,5_1,51,2000,0,2001,136515,0,93398,1.462
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_1.3,5447,5,1,3,1.3,5_2,52,2000,5447,2002,136515,3.99,93398,1.462
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_2.2,483,5,2,2,2.2,5_3,53,2000,483,2003,136515,0.35,93398,1.462
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_3.1,287,5,3,1,3.1,5_4,54,2000,287,2004,136515,0.21,93398,1.462
Columbia River,Bonneville Lock & Dam,2005,72971,AgeClass_0.3,0,4,0,3,0.3,4_1,41,2001,0,2002,80051,0,114934,0.696
